												SUCCESSFUL

_replace_verse

----------------------------------------Reference not found. Skipping...(1, 6, range(9, 11))-Guajajara
Reference not found. Skipping...(24, 7, range(1, 4))-Guarani
Reference not found. Skipping...(24, 7, range(1, 4))-NVI



Reference not found. Skipping...(24, 7, range(27, 29))-Guajajara
Reference not found. Skipping...(24, 7, range(27, 29))-Guarani
Reference not found. Skipping...(24, 7, range(27, 29))-NVI



Reference not found. Skipping...(24, 9, range(25, 27))-Guajajara
Reference not found. Skipping...(24, 9, range(25, 27))-Guarani
Reference not found. Skipping...(24, 9, range(25, 27))-NVI



Reference not found. Skipping...(24, 21, range(11, 13))-Guajajara
Reference not found. Skipping...(24, 21, range(11, 13))-Guarani
Reference not found. Skipping...(24, 21, range(11, 13))-NVI



Reference not found. Skipping...(24, 22, range(1, 3))-Guajajara
Reference not found. Skipping...(24, 22, range(1, 3))-Guarani
Reference not found. Skipping...(24, 22, range(1, 3))-NVI



Reference not found. Skipping...(24, 23, range(1, 3))-Guajajara
Reference not found. Skipping...(24, 23, range(1, 3))-Guarani
Reference not found. Skipping...(24, 23, range(1, 3))-NVI



Reference not found. Skipping...(24, 24, range(1, 3))-Guajajara
Reference not found. Skipping...(24, 24, range(1, 3))-Guarani
Reference not found. Skipping...(24, 24, range(1, 3))-NVI



Reference not found. Skipping...(24, 25, range(19, 27))-Guajajara
Reference not found. Skipping...(24, 25, range(19, 27))-Guarani
Reference not found. Skipping...(24, 25, range(19, 27))-NVI



Reference not found. Skipping...(24, 25, range(36, 38))-Guajajara
Reference not found. Skipping...(24, 25, range(36, 38))-Guarani
Reference not found. Skipping...(24, 25, range(36, 38))-NVI



Reference not found. Skipping...(24, 27, range(19, 21))-Guajajara
Reference not found. Skipping...(24, 27, range(19, 21))-Guarani
Reference not found. Skipping...(24, 27, range(19, 21))-NVI



Reference not found. Skipping...(24, 28, range(12, 14))-Guajajara
Reference not found. Skipping...(24, 28, range(12, 14))-Guarani
Reference not found. Skipping...(24, 28, range(12, 14))-NVI



Reference not found. Skipping...(24, 29, range(24, 26))-Guajajara
Reference not found. Skipping...(24, 29, range(24, 26))-Guarani
Reference not found. Skipping...(24, 29, range(24, 26))-NVI



Reference not found. Skipping...(24, 29, range(30, 33))-Guajajara
Reference not found. Skipping...(24, 29, range(30, 33))-Guarani
Reference not found. Skipping...(24, 29, range(30, 33))-NVI



Reference not found. Skipping...(24, 30, range(1, 4))-Guajajara
Reference not found. Skipping...(24, 30, range(1, 4))-Guarani
Reference not found. Skipping...(24, 30, range(1, 4))-NVI



Reference not found. Skipping...(24, 30, range(21, 23))-Guajajara
Reference not found. Skipping...(24, 30, range(21, 23))-Guarani
Reference not found. Skipping...(24, 30, range(21, 23))-NVI



Reference not found. Skipping...(24, 30, range(23, 25))-Guajajara
Reference not found. Skipping...(24, 30, range(23, 25))-Guarani
Reference not found. Skipping...(24, 30, range(23, 25))-NVI



Reference not found. Skipping...(24, 34, range(12, 14))-Guajajara
Reference not found. Skipping...(24, 34, range(12, 14))-Guarani
Reference not found. Skipping...(24, 34, range(12, 14))-NVI



Reference not found. Skipping...(24, 34, range(18, 20))-Guajajara
Reference not found. Skipping...(24, 34, range(18, 20))-Guarani
Reference not found. Skipping...(24, 34, range(18, 20))-NVI



Reference not found. Skipping...(24, 35, range(3, 5))-Guajajara
Reference not found. Skipping...(24, 35, range(3, 5))-Guarani
Reference not found. Skipping...(24, 35, range(3, 5))-NVI



Reference not found. Skipping...(24, 35, range(9, 11))-Guajajara
Reference not found. Skipping...(24, 35, range(9, 11))-Guarani
Reference not found. Skipping...(24, 35, range(9, 11))-NVI



Reference not found. Skipping...(24, 35, range(12, 14))-Guajajara
Reference not found. Skipping...(24, 35, range(12, 14))-Guarani
Reference not found. Skipping...(24, 35, range(12, 14))-NVI



Reference not found. Skipping...(24, 37, range(6, 8))-Guajajara
Reference not found. Skipping...(24, 37, range(6, 8))-Guarani
Reference not found. Skipping...(24, 37, range(6, 8))-NVI



Reference not found. Skipping...(24, 38, range(7, 9))-Guajajara
Reference not found. Skipping...(24, 38, range(7, 9))-Guarani
Reference not found. Skipping...(24, 38, range(7, 9))-NVI



Reference not found. Skipping...(24, 42, range(13, 16))-Guajajara
Reference not found. Skipping...(24, 42, range(13, 16))-Guarani
Reference not found. Skipping...(24, 42, range(13, 16))-NVI



Reference not found. Skipping...(24, 44, range(24, 26))-Guajajara
Reference not found. Skipping...(24, 44, range(24, 26))-Guarani
Reference not found. Skipping...(24, 44, range(24, 26))-NVI



Reference not found. Skipping...(24, 45, range(1, 3))-Guajajara
Reference not found. Skipping...(24, 45, range(1, 3))-Guarani
Reference not found. Skipping...(24, 45, range(1, 3))-NVI



Reference not found. Skipping...(24, 52, range(21, 23))-Guajajara
Reference not found. Skipping...(24, 52, range(21, 23))-Guarani
Reference not found. Skipping...(24, 52, range(21, 23))-NVI



Reference not found. Skipping...(26, 4, range(4, 6))-Guajajara
Reference not found. Skipping...(26, 4, range(4, 6))-Guarani
Reference not found. Skipping...(26, 4, range(4, 6))-NVI



Reference not found. Skipping...(26, 23, range(14, 16))-Guajajara
Reference not found. Skipping...(26, 23, range(14, 16))-Guarani
Reference not found. Skipping...(26, 23, range(14, 16))-NVI



Reference not found. Skipping...(26, 40, range(8, 10))-Guajajara
Reference not found. Skipping...(26, 40, range(8, 10))-Guarani
Reference not found. Skipping...(26, 40, range(8, 10))-NVI



Reference not found. Skipping...(26, 40, range(29, 31))-Guajajara
Reference not found. Skipping...(26, 40, range(29, 31))-Guarani
Reference not found. Skipping...(26, 40, range(29, 31))-NVI



Reference not found. Skipping...(26, 41, range(8, 12))-Guajajara
Reference not found. Skipping...(26, 41, range(8, 12))-Guarani
Reference not found. Skipping...(26, 41, range(8, 12))-NVI



Reference not found. Skipping...(26, 42, range(7, 9))-Guajajara
Reference not found. Skipping...(26, 42, range(7, 9))-Guarani
Reference not found. Skipping...(26, 42, range(7, 9))-NVI



Reference not found. Skipping...(26, 42, range(9, 11))-Guajajara
Reference not found. Skipping...(26, 42, range(9, 11))-Guarani
Reference not found. Skipping...(26, 42, range(9, 11))-NVI



Reference not found. Skipping...(26, 42, range(17, 20))-Guajajara
Reference not found. Skipping...(26, 42, range(17, 20))-Guarani
Reference not found. Skipping...(26, 42, range(17, 20))-NVI



Reference not found. Skipping...(26, 45, range(13, 15))-Guajajara
Reference not found. Skipping...(26, 45, range(13, 15))-Guarani
Reference not found. Skipping...(26, 45, range(13, 15))-NVI



Reference not found. Skipping...(26, 46, range(21, 23))-Guajajara
Reference not found. Skipping...(26, 46, range(21, 23))-Guarani
Reference not found. Skipping...(26, 46, range(21, 23))-NVI



Reference not found. Skipping...(26, 48, range(1, 8))-Guajajara
Reference not found. Skipping...(26, 48, range(1, 8))-Guarani
Reference not found. Skipping...(26, 48, range(1, 8))-NVI



Reference not found. Skipping...(26, 48, range(21, 23))-Guajajara
Reference not found. Skipping...(26, 48, range(21, 23))-Guarani
Reference not found. Skipping...(26, 48, range(21, 23))-NVI



Reference not found. Skipping...(26, 48, range(23, 28))-Guajajara
Reference not found. Skipping...(26, 48, range(23, 28))-Guarani
Reference not found. Skipping...(26, 48, range(23, 28))-NVI



Reference not found. Skipping...(26, 48, range(30, 35))-Guajajara
Reference not found. Skipping...(26, 48, range(30, 35))-Guarani
Reference not found. Skipping...(26, 48, range(30, 35))-NVI



Reference not found. Skipping...(27, 10, range(20, 22))-Guajajara
Reference not found. Skipping...(27, 10, range(20, 22))-Guarani
Reference not found. Skipping...(27, 10, range(20, 22))-NVI



Reference not found. Skipping...(29, 3, range(20, 22))-Guajajara
Reference not found. Skipping...(29, 3, range(20, 22))-Guarani
Reference not found. Skipping...(29, 3, range(20, 22))-NVI



Reference not found. Skipping...(38, 2, range(6, 8))-Guajajara
Reference not found. Skipping...(38, 2, range(6, 8))-Guarani
Reference not found. Skipping...(38, 2, range(6, 8))-NVI



Reference not found. Skipping...(38, 12, range(12, 15))-Guajajara
Reference not found. Skipping...(38, 12, range(12, 15))-Guarani
Reference not found. Skipping...(38, 12, range(12, 15))-NVI



Reference not found. Skipping...(40, 14, range(1, 13))-Guajajara
Reference not found. Skipping...(40, 14, range(1, 13))-Guarani
Reference not found. Skipping...(40, 14, range(1, 13))-NVI



Reference not found. Skipping...(41, 1, range(43, 45))-Guajajara
Reference not found. Skipping...(41, 1, range(43, 45))-Guarani
Reference not found. Skipping...(41, 1, range(43, 45))-NVI



Reference not found. Skipping...(41, 11, range(25, 27))-Guajajara
Reference not found. Skipping...(41, 11, range(25, 27))-Guarani
Reference not found. Skipping...(41, 11, range(25, 27))-NVI



Reference not found. Skipping...(41, 15, range(28, 30))-Guajajara
Reference not found. Skipping...(41, 15, range(28, 30))-Guarani
Reference not found. Skipping...(41, 15, range(28, 30))-NVI



Reference not found. Skipping...(41, 15, range(42, 44))-Guajajara
Reference not found. Skipping...(41, 15, range(42, 44))-Guarani
Reference not found. Skipping...(41, 15, range(42, 44))-NVI



Reference not found. Skipping...(42, 1, range(54, 56))-Guajajara
Reference not found. Skipping...(42, 1, range(54, 56))-Guarani
Reference not found. Skipping...(42, 1, range(54, 56))-NVI



Reference not found. Skipping...(42, 1, range(73, 75))-Guajajara
Reference not found. Skipping...(42, 1, range(73, 75))-Guarani
Reference not found. Skipping...(42, 1, range(73, 75))-NVI



Reference not found. Skipping...(42, 3, range(23, 39))-Guajajara
Reference not found. Skipping...(42, 3, range(23, 39))-Guarani
Reference not found. Skipping...(42, 3, range(23, 39))-NVI



Reference not found. Skipping...(42, 12, range(58, 60))-Guajajara
Reference not found. Skipping...(42, 12, range(58, 60))-Guarani
Reference not found. Skipping...(42, 12, range(58, 60))-NVI



Reference not found. Skipping...(42, 23, range(50, 52))-Guajajara
Reference not found. Skipping...(42, 23, range(50, 52))-Guarani
Reference not found. Skipping...(42, 23, range(50, 52))-NVI



Reference not found. Skipping...(42, 24, range(33, 35))-Guajajara
Reference not found. Skipping...(42, 24, range(33, 35))-Guarani
Reference not found. Skipping...(42, 24, range(33, 35))-NVI



Reference not found. Skipping...(43, 6, range(1, 7))-Guajajara
Reference not found. Skipping...(43, 6, range(1, 7))-Guarani
Reference not found. Skipping...(43, 6, range(1, 7))-NVI



Reference not found. Skipping...(43, 6, range(30, 32))-Guajajara
Reference not found. Skipping...(43, 6, range(30, 32))-Guarani
Reference not found. Skipping...(43, 6, range(30, 32))-NVI



Reference not found. Skipping...(43, 7, range(52, 54))-Guajajara
Reference not found. Skipping...(43, 7, range(52, 54))-Guarani
Reference not found. Skipping...(43, 7, range(52, 54))-NVI



Reference not found. Skipping...(43, 9, range(4, 6))-Guajajara
Reference not found. Skipping...(43, 9, range(4, 6))-Guarani
Reference not found. Skipping...(43, 9, range(4, 6))-NVI



Reference not found. Skipping...(43, 10, range(14, 16))-Guajajara
Reference not found. Skipping...(43, 10, range(14, 16))-Guarani
Reference not found. Skipping...(43, 10, range(14, 16))-NVI



Reference not found. Skipping...(43, 10, range(34, 37))-Guajajara
Reference not found. Skipping...(43, 10, range(34, 37))-Guarani
Reference not found. Skipping...(43, 10, range(34, 37))-NVI



Reference not found. Skipping...(43, 11, range(49, 51))-Guajajara
Reference not found. Skipping...(43, 11, range(49, 51))-Guarani
Reference not found. Skipping...(43, 11, range(49, 51))-NVI



Reference not found. Skipping...(43, 13, range(13, 15))-Guajajara
Reference not found. Skipping...(43, 13, range(13, 15))-Guarani
Reference not found. Skipping...(43, 13, range(13, 15))-NVI



Reference not found. Skipping...(43, 16, range(8, 10))-Guajajara
Reference not found. Skipping...(43, 16, range(8, 10))-Guarani
Reference not found. Skipping...(43, 16, range(8, 10))-NVI



Reference not found. Skipping...(43, 16, range(17, 19))-Guajajara
Reference not found. Skipping...(43, 16, range(17, 19))-Guarani
Reference not found. Skipping...(43, 16, range(17, 19))-NVI



Reference not found. Skipping...(43, 18, range(4, 6))-Guajajara
Reference not found. Skipping...(43, 18, range(4, 6))-Guarani
Reference not found. Skipping...(43, 18, range(4, 6))-NVI



Reference not found. Skipping...(43, 19, range(34, 38))-Guajajara
Reference not found. Skipping...(43, 19, range(34, 38))-Guarani
Reference not found. Skipping...(43, 19, range(34, 38))-NVI



Reference not found. Skipping...(43, 20, range(5, 8))-Guajajara
Reference not found. Skipping...(43, 20, range(5, 8))-Guarani
Reference not found. Skipping...(43, 20, range(5, 8))-NVI



Reference not found. Skipping...(43, 20, range(8, 10))-Guajajara
Reference not found. Skipping...(43, 20, range(8, 10))-Guarani
Reference not found. Skipping...(43, 20, range(8, 10))-NVI



Reference not found. Skipping...(44, 1, range(21, 23))-Guajajara
Reference not found. Skipping...(44, 1, range(21, 23))-Guarani
Reference not found. Skipping...(44, 1, range(21, 23))-NVI



Reference not found. Skipping...(44, 8, range(27, 29))-Guajajara
Reference not found. Skipping...(44, 8, range(27, 29))-Guarani
Reference not found. Skipping...(44, 8, range(27, 29))-NVI



Reference not found. Skipping...(44, 13, range(38, 40))-Guajajara
Reference not found. Skipping...(44, 13, range(38, 40))-Guarani
Reference not found. Skipping...(44, 13, range(38, 40))-NVI



Reference not found. Skipping...(44, 15, range(23, 30))-Guajajara
Reference not found. Skipping...(44, 15, range(23, 30))-Guarani
Reference not found. Skipping...(44, 15, range(23, 30))-NVI



Reference not found. Skipping...(45, 1, range(3, 5))-Guajajara
Reference not found. Skipping...(45, 1, range(3, 5))-Guarani
Reference not found. Skipping...(45, 1, range(3, 5))-NVI



Reference not found. Skipping...(45, 2, range(28, 30))-Guajajara
Reference not found. Skipping...(45, 2, range(28, 30))-Guarani
Reference not found. Skipping...(45, 2, range(28, 30))-NVI



Reference not found. Skipping...(45, 3, range(21, 24))-Guajajara
Reference not found. Skipping...(45, 3, range(21, 24))-Guarani
Reference not found. Skipping...(45, 3, range(21, 24))-NVI



Reference not found. Skipping...(45, 9, range(11, 13))-Guajajara
Reference not found. Skipping...(45, 9, range(11, 13))-Guarani
Reference not found. Skipping...(45, 9, range(11, 13))-NVI



Reference not found. Skipping...(46, 1, range(1, 3))-Guajajara
Reference not found. Skipping...(46, 1, range(1, 3))-Guarani
Reference not found. Skipping...(46, 1, range(1, 3))-NVI



Reference not found. Skipping...(46, 5, range(3, 5))-Guajajara
Reference not found. Skipping...(46, 5, range(3, 5))-Guarani
Reference not found. Skipping...(46, 5, range(3, 5))-NVI



Reference not found. Skipping...(46, 5, range(12, 14))-Guajajara
Reference not found. Skipping...(46, 5, range(12, 14))-Guarani
Reference not found. Skipping...(46, 5, range(12, 14))-NVI



Reference not found. Skipping...(47, 1, range(13, 15))-Guajajara
Reference not found. Skipping...(47, 1, range(13, 15))-Guarani
Reference not found. Skipping...(47, 1, range(13, 15))-NVI



Reference not found. Skipping...(47, 8, range(13, 15))-Guajajara
Reference not found. Skipping...(47, 8, range(13, 15))-Guarani
Reference not found. Skipping...(47, 8, range(13, 15))-NVI



Reference not found. Skipping...(47, 12, range(3, 5))-Guajajara
Reference not found. Skipping...(47, 12, range(3, 5))-Guarani
Reference not found. Skipping...(47, 12, range(3, 5))-NVI



Reference not found. Skipping...(47, 13, range(13, 15))-Guajajara
Reference not found. Skipping...(47, 13, range(13, 15))-Guarani
Reference not found. Skipping...(47, 13, range(13, 15))-NTLH
Reference not found. Skipping...(47, 13, range(13, 15))-NVI



Reference not found. Skipping...(48, 4, range(24, 27))-Guajajara
Reference not found. Skipping...(48, 4, range(24, 27))-Guarani
Reference not found. Skipping...(48, 4, range(24, 27))-NVI



Reference not found. Skipping...(50, 3, range(6, 10))-Guajajara
Reference not found. Skipping...(50, 3, range(6, 10))-Guarani
Reference not found. Skipping...(50, 3, range(6, 10))-NVI



Reference not found. Skipping...(50, 3, range(15, 17))-Guajajara
Reference not found. Skipping...(50, 3, range(15, 17))-Guarani
Reference not found. Skipping...(50, 3, range(15, 17))-NVI



Reference not found. Skipping...(51, 2, range(22, 24))-Guajajara
Reference not found. Skipping...(51, 2, range(22, 24))-Guarani
Reference not found. Skipping...(51, 2, range(22, 24))-NVI



Reference not found. Skipping...(52, 3, range(1, 3))-Guajajara
Reference not found. Skipping...(52, 3, range(1, 3))-Guarani
Reference not found. Skipping...(52, 3, range(1, 3))-NVI



Reference not found. Skipping...(52, 4, range(4, 6))-Guajajara
Reference not found. Skipping...(52, 4, range(4, 6))-Guarani
Reference not found. Skipping...(52, 4, range(4, 6))-NVI



Reference not found. Skipping...(53, 1, range(6, 8))-Guajajara
Reference not found. Skipping...(53, 1, range(6, 8))-Guarani
Reference not found. Skipping...(53, 1, range(6, 8))-NVI



Reference not found. Skipping...(53, 2, range(6, 13))-Guajajara
Reference not found. Skipping...(53, 2, range(6, 13))-Guarani
Reference not found. Skipping...(53, 2, range(6, 13))-NVI



Reference not found. Skipping...(54, 2, range(1, 3))-Guajajara
Reference not found. Skipping...(54, 2, range(1, 3))-Guarani
Reference not found. Skipping...(54, 2, range(1, 3))-NVI



Reference not found. Skipping...(54, 2, range(5, 7))-Guajajara
Reference not found. Skipping...(54, 2, range(5, 7))-Guarani
Reference not found. Skipping...(54, 2, range(5, 7))-NVI



Reference not found. Skipping...(54, 5, range(9, 11))-Guajajara
Reference not found. Skipping...(54, 5, range(9, 11))-Guarani
Reference not found. Skipping...(54, 5, range(9, 11))-NVI



Reference not found. Skipping...(54, 5, range(11, 13))-Guajajara
Reference not found. Skipping...(54, 5, range(11, 13))-Guarani
Reference not found. Skipping...(54, 5, range(11, 13))-NVI



Reference not found. Skipping...(54, 5, range(17, 19))-Guajajara
Reference not found. Skipping...(54, 5, range(17, 19))-Guarani
Reference not found. Skipping...(54, 5, range(17, 19))-NVI



Reference not found. Skipping...(54, 5, range(23, 26))-Guajajara
Reference not found. Skipping...(54, 5, range(23, 26))-Guarani
Reference not found. Skipping...(54, 5, range(23, 26))-NVI



Reference not found. Skipping...(54, 6, range(3, 5))-Guajajara
Reference not found. Skipping...(54, 6, range(3, 5))-Guarani
Reference not found. Skipping...(54, 6, range(3, 5))-NVI



Reference not found. Skipping...(54, 6, range(8, 10))-Guajajara
Reference not found. Skipping...(54, 6, range(8, 10))-Guarani
Reference not found. Skipping...(54, 6, range(8, 10))-NVI



Reference not found. Skipping...(54, 6, range(13, 15))-Guajajara
Reference not found. Skipping...(54, 6, range(13, 15))-Guarani
Reference not found. Skipping...(54, 6, range(13, 15))-NVI



Reference not found. Skipping...(54, 6, range(20, 22))-Guajajara
Reference not found. Skipping...(54, 6, range(20, 22))-Guarani
Reference not found. Skipping...(54, 6, range(20, 22))-NVI



Reference not found. Skipping...(55, 4, range(3, 5))-Guajajara
Reference not found. Skipping...(55, 4, range(3, 5))-Guarani
Reference not found. Skipping...(55, 4, range(3, 5))-NVI



Reference not found. Skipping...(57, 1, range(1, 3))-Guajajara
Reference not found. Skipping...(57, 1, range(1, 3))-Guarani
Reference not found. Skipping...(57, 1, range(1, 3))-NVI



Reference not found. Skipping...(58, 10, range(19, 21))-Guajajara
Reference not found. Skipping...(58, 10, range(19, 21))-Guarani
Reference not found. Skipping...(58, 10, range(19, 21))-NVI



Reference not found. Skipping...(58, 11, range(17, 19))-Guajajara
Reference not found. Skipping...(58, 11, range(17, 19))-Guarani
Reference not found. Skipping...(58, 11, range(17, 19))-NVI



Reference not found. Skipping...(58, 11, range(39, 41))-Guajajara
Reference not found. Skipping...(58, 11, range(39, 41))-Guarani
Reference not found. Skipping...(58, 11, range(39, 41))-NVI



Reference not found. Skipping...(59, 1, range(7, 9))-Guajajara
Reference not found. Skipping...(59, 1, range(7, 9))-Guarani
Reference not found. Skipping...(59, 1, range(7, 9))-NVI



Reference not found. Skipping...(59, 1, range(23, 25))-Guajajara
Reference not found. Skipping...(59, 1, range(23, 25))-Guarani
Reference not found. Skipping...(59, 1, range(23, 25))-NVI



Reference not found. Skipping...(59, 2, range(2, 5))-Guajajara
Reference not found. Skipping...(59, 2, range(2, 5))-Guarani
Reference not found. Skipping...(59, 2, range(2, 5))-NVI



Reference not found. Skipping...(60, 2, range(2, 4))-Guajajara
Reference not found. Skipping...(60, 2, range(2, 4))-Guarani
Reference not found. Skipping...(60, 2, range(2, 4))-NVI



Reference not found. Skipping...(60, 3, range(1, 3))-Guajajara
Reference not found. Skipping...(60, 3, range(1, 3))-Guarani
Reference not found. Skipping...(60, 3, range(1, 3))-NVI



Reference not found. Skipping...(60, 3, range(19, 21))-Guajajara
Reference not found. Skipping...(60, 3, range(19, 21))-Guarani
Reference not found. Skipping...(60, 3, range(19, 21))-NVI



Reference not found. Skipping...(62, 5, range(7, 9))-Guajajara
Reference not found. Skipping...(62, 5, range(7, 9))-Guarani
Reference not found. Skipping...(62, 5, range(7, 9))-NVI



Reference not found. Skipping...(64, 1, range(6, 8))-Guajajara
Reference not found. Skipping...(64, 1, range(6, 8))-Guarani
Reference not found. Skipping...(64, 1, range(6, 8))-NVI



Reference not found. Skipping...(64, 1, range(14, 16))-Guajajara
Reference not found. Skipping...(64, 1, range(14, 16))-Guarani
Reference not found. Skipping...(64, 1, range(14, 16))-NTLH
Reference not found. Skipping...(64, 1, range(14, 16))-NVI



Reference not found. Skipping...(66, 7, range(5, 9))-Guajajara
Reference not found. Skipping...(66, 7, range(5, 9))-Guarani
Reference not found. Skipping...(66, 7, range(5, 9))-NVI



Reference not found. Skipping...(66, 12, range(17, 19))-acf
Reference not found. Skipping...(66, 12, range(17, 19))-Guajajara
Reference not found. Skipping...(66, 12, range(17, 19))-Guarani
Reference not found. Skipping...(66, 12, range(17, 19))-NTLH
Reference not found. Skipping...(66, 12, range(17, 19))-NVI



Reference not found. Skipping...(66, 18, range(17, 19))-Guajajara
Reference not found. Skipping...(66, 18, range(17, 19))-Guarani
Reference not found. Skipping...(66, 18, range(17, 19))-NVI



Reference not found. Skipping...(66, 20, range(2, 4))-Guajajara
Reference not found. Skipping...(66, 20, range(2, 4))-Guarani
Reference not found. Skipping...(66, 20, range(2, 4))-NVI



Reference not found. Skipping...(66, 20, range(14, 16))-Guajajara
Reference not found. Skipping...(66, 20, range(14, 16))-Guarani
Reference not found. Skipping...(66, 20, range(14, 16))-NVI



Reference not found. Skipping...(66, 21, range(10, 12))-Guajajara
Reference not found. Skipping...(66, 21, range(10, 12))-Guarani
Reference not found. Skipping...(66, 21, range(10, 12))-NVI



Reference not found. Skipping...(66, 21, range(19, 21))-Guajajara
Reference not found. Skipping...(66, 21, range(19, 21))-Guarani
Reference not found. Skipping...(66, 21, range(19, 21))-NVI



Reference not found. Skipping...(26, 23, range(48, 50))-Guajajara
Reference not found. Skipping...(26, 23, range(48, 50))-Guarani
Reference not found. Skipping...(26, 23, range(48, 50))-NVI



Reference not found. Skipping...(44, 19, range(40, 42))-Guajajara
Reference not found. Skipping...(44, 19, range(40, 42))-Guarani
Reference not found. Skipping...(44, 19, range(40, 42))-NVI



Reference not found. Skipping...(47, 13, range(13, 15))-aa
Reference not found. Skipping...(47, 13, range(13, 15))-acf
Reference not found. Skipping...(47, 13, range(13, 15))-Guajajara
Reference not found. Skipping...(47, 13, range(13, 15))-Guarani
Reference not found. Skipping...(47, 13, range(13, 15))-NTLH
Reference not found. Skipping...(47, 13, range(13, 15))-NVI



Reference not found. Skipping...(64, 1, range(14, 16))-aa
Reference not found. Skipping...(64, 1, range(14, 16))-acf
Reference not found. Skipping...(64, 1, range(14, 16))-Guajajara
Reference not found. Skipping...(64, 1, range(14, 16))-Guarani
Reference not found. Skipping...(64, 1, range(14, 16))-NTLH
Reference not found. Skipping...(64, 1, range(14, 16))-NVI



Reference not found. Skipping...(66, 12, range(17, 19))-aa
Reference not found. Skipping...(66, 12, range(17, 19))-acf
Reference not found. Skipping...(66, 12, range(17, 19))-Guajajara
Reference not found. Skipping...(66, 12, range(17, 19))-Guarani
Reference not found. Skipping...(66, 12, range(17, 19))-NTLH
Reference not found. Skipping...(66, 12, range(17, 19))-NVI



Reference not found. Skipping...(1, 6, range(19, 21))-Guajajara
Reference not found. Skipping...(1, 6, range(19, 21))-Guarani
Reference not found. Skipping...(1, 6, range(19, 21))-NVI



Reference not found. Skipping...(1, 6, range(19, 21))-aa
Reference not found. Skipping...(1, 6, range(19, 21))-acf
Reference not found. Skipping...(1, 6, range(19, 21))-Guajajara
Reference not found. Skipping...(1, 6, range(19, 21))-Guarani
Reference not found. Skipping...(1, 6, range(19, 21))-NTLH
Reference not found. Skipping...(1, 6, range(19, 21))-NVI



Reference not found. Skipping...(1, 24, range(29, 31))-Guajajara
Reference not found. Skipping...(1, 24, range(29, 31))-Guarani
Reference not found. Skipping...(1, 24, range(29, 31))-NVI



Reference not found. Skipping...(1, 24, range(29, 31))-aa
Reference not found. Skipping...(1, 24, range(29, 31))-acf
Reference not found. Skipping...(1, 24, range(29, 31))-Guajajara
Reference not found. Skipping...(1, 24, range(29, 31))-Guarani
Reference not found. Skipping...(1, 24, range(29, 31))-NTLH
Reference not found. Skipping...(1, 24, range(29, 31))-NVI



Reference not found. Skipping...(1, 31, range(17, 19))-Guajajara
Reference not found. Skipping...(1, 31, range(17, 19))-Guarani
Reference not found. Skipping...(1, 31, range(17, 19))-NVI



Reference not found. Skipping...(1, 31, range(17, 19))-aa
Reference not found. Skipping...(1, 31, range(17, 19))-acf
Reference not found. Skipping...(1, 31, range(17, 19))-Guajajara
Reference not found. Skipping...(1, 31, range(17, 19))-Guarani
Reference not found. Skipping...(1, 31, range(17, 19))-NTLH
Reference not found. Skipping...(1, 31, range(17, 19))-NVI



Reference not found. Skipping...(1, 36, range(10, 13))-Guajajara
Reference not found. Skipping...(1, 36, range(10, 13))-Guarani
Reference not found. Skipping...(1, 36, range(10, 13))-NVI



Reference not found. Skipping...(1, 36, range(10, 13))-aa
Reference not found. Skipping...(1, 36, range(10, 13))-acf
Reference not found. Skipping...(1, 36, range(10, 13))-Guajajara
Reference not found. Skipping...(1, 36, range(10, 13))-Guarani
Reference not found. Skipping...(1, 36, range(10, 13))-NTLH
Reference not found. Skipping...(1, 36, range(10, 13))-NVI



Reference not found. Skipping...(1, 36, range(10, 13))-aa
Reference not found. Skipping...(1, 36, range(10, 13))-acf
Reference not found. Skipping...(1, 36, range(10, 13))-Guajajara
Reference not found. Skipping...(1, 36, range(10, 13))-Guarani
Reference not found. Skipping...(1, 36, range(10, 13))-NTLH
Reference not found. Skipping...(1, 36, range(10, 13))-NVI



Reference not found. Skipping...(1, 36, range(20, 22))-Guajajara
Reference not found. Skipping...(1, 36, range(20, 22))-Guarani
Reference not found. Skipping...(1, 36, range(20, 22))-NVI



Reference not found. Skipping...(1, 36, range(20, 22))-aa
Reference not found. Skipping...(1, 36, range(20, 22))-acf
Reference not found. Skipping...(1, 36, range(20, 22))-Guajajara
Reference not found. Skipping...(1, 36, range(20, 22))-Guarani
Reference not found. Skipping...(1, 36, range(20, 22))-NTLH
Reference not found. Skipping...(1, 36, range(20, 22))-NVI



Reference not found. Skipping...(1, 36, range(25, 27))-Guajajara
Reference not found. Skipping...(1, 36, range(25, 27))-Guarani
